time,DVESystem.client[96].clientPresenceFactor:vector
5.27883535706,1
5.630957393799,1
6.189539187786,1
6.978841465005,1
7.605396416159,2
7.73978227833,2
8.034416856629,2
8.260691435782,1
8.596670204766,1
8.614859184634,0
9.082825002557,0
9.608257956741,0
10.489064173979,1
10.829414899488,2
11.544129425452,1
11.645847802625,2
12.04678951615,2
12.503683917934,3
13.092275997893,2
13.318527058645,1
13.326657983767,1
13.451050427893,1
13.50575989995,1
14.302388709438,2
14.535355916393,3
14.718958823223,4
15.20292969549,2
15.27022877725,2
15.430602450895,1
15.447374287528,1
15.925456949148,2
15.97638564653,3
16.004877831338,4
16.101722629921,3
17.067339834924,4
17.273258008268,4
17.358577193439,2
17.484555974201,2
17.882718799501,2
19.025694988306,3
19.202599338698,2
19.225557519698,2
19.273765948498,2
19.366151277171,2
19.431665963053,2
19.710281996265,1
19.955814515135,0
20.838817344105,1
21.077242809013,2
21.169025241999,2
21.210646065883,4
21.551521302838,4
21.562180030781,4
22.495647928761,3
22.94398011884,4
22.981701518933,3
23.00312419474,3
23.011158446508,3
23.054284974969,4
23.077529694793,4
23.195646622194,4
23.560903818669,4
23.866477998752,3
25.054527316977,3
25.077197919609,2
25.287572415978,3
25.599303948925,3
26.029981170391,3
27.20209339544,2
27.468005416428,2
27.472149012594,3
27.885320585984,4
29.354835348529,2
29.572821963896,2
30.060082644505,3
30.874126655739,2
31.997478977956,2
32.1594420643,3
32.190104432693,2
34.591487743475,3
36.475561424787,2
36.494716754228,1
36.816078811649,2
37.378882790638,3
38.273573499441,3
38.525700605024,4
38.654798078485,5
39.003516166114,4
39.22091043247,4
39.289460481702,4
39.315055882502,4
39.454715562201,4
39.708728958526,3
39.733777009839,3
39.966467940608,3
40.564183120613,3
40.736054180413,4
40.777661098452,5
40.9067114719,6
41.198897424665,0
41.350233832479,1
41.652928751241,1
42.908765366045,2
43.250747076924,1
43.479004917003,1
43.585854527277,1
44.299399637582,2
44.592368716723,3
44.743944985321,2
45.152060170637,3
45.337864543399,1
45.356029397728,1
45.650458194665,1
45.687243669133,2
46.623002606174,1
47.044056147351,2
47.428671543808,3
47.643661130908,3
47.939815702442,3
48.637715086857,4
49.094713924249,5
49.149821263321,6
49.174913651198,3
49.706034451114,2
49.726939177868,2
50.43782211119,1
50.50800348446,1
50.694285269142,2
50.778005697818,3
51.498969798989,3
51.828692573498,3
52.831059721913,4
52.875687068217,3
53.155701163795,3
53.242969104853,5
53.540190266041,5
53.858928359391,6
53.984204842436,5
54.49891964475,6
54.572186622129,7
54.629161582038,8
54.649205962414,7
54.731379788131,7
54.846950959506,7
55.276682475677,3
55.350034931048,2
55.596708351338,2
55.703605816887,1
56.195368921577,0
56.74856505485,1
57.209398734588,1
57.313065639558,1
57.31424084304,1
57.419116882505,1
57.915385683323,0
58.70944541542,1
59.267971970425,2
59.584680697051,2
59.710545016559,3
59.809998697849,4
60.881974847971,3
61.07386934527,2
61.215399020655,2
61.39908563181,3
61.916970730392,4
61.933850062284,4
62.455886255589,3
62.860503632061,2
63.069873764031,1
63.179505607217,1
63.280477903853,0
63.58147872161,0
64.557621610976,1
65.010468765855,1
65.318670119593,1
65.52169243669,1
65.880431076645,1
65.916400642045,0
66.600321859584,1
67.381332649237,1
67.559333346372,0
69.587680800071,0
69.603109381744,0
69.871144987421,1
70.670620273281,2
70.787685058816,3
70.949056974055,4
71.018715995643,5
71.24126761982,1
71.482614900172,1
72.249492227315,2
72.83451963111,3
72.951529620248,2
73.035550331812,3
73.994433437474,2
74.807717403788,1
74.840680866233,2
74.867917637395,1
75.572920794416,4
75.787500183266,4
76.229215387692,5
76.309411018764,4
76.507465647115,4
76.508583154284,3
76.659679431308,3
77.209954202046,2
77.880717685956,1
78.37056159141,2
78.641138550803,3
78.739479237968,4
79.507446502547,4
79.963650047716,5
79.982880137053,5
80.651519102507,4
80.6646450127,4
80.688981042978,4
80.835833524938,3
81.236143493286,3
81.256503054074,3
81.321255230261,3
81.501293754198,3
81.704515721575,2
82.507341229966,3
82.591460745895,4
83.06789771372,3
83.342492503755,3
83.972372727493,3
84.01378070991,3
84.602290475892,2
84.684127803519,2
84.695187694761,3
85.015472059504,2
85.545265447933,4
85.878011818193,4
86.686750439215,3
86.806431146617,3
86.990001290542,3
87.193177607802,3
87.249095392326,2
87.503832734001,2
87.69952087494,3
88.298072337266,3
89.273816010168,1
89.62166323649,2
89.721247921098,2
90.69831997287,1
90.858931443031,2
91.51855481226,1
91.980994718494,2
92.602025190269,1
93.999798782244,2
94.113652145466,1
94.500795379595,1
95.312555469547,1
95.429954428103,1
96.555238677815,0
97.475076173419,4
97.61641531647,4
97.94900546476,5
99.14499745992,4
99.365449710343,0
99.737152695966,0
99.846942281744,0
100.181796383305,0
100.301301401398,1
101.324160662357,3
101.680344323514,3
102.230823903767,2
102.796702864432,1
103.325727885521,0
103.728174873848,0
104.749178436695,1
105.235657440106,1
105.363907344848,0
106.060619832399,0
107.054584569136,0
107.282651440629,3
107.697101018244,3
108.873653777896,2
109.004652729686,1
109.007010497761,1
109.213540335511,2
109.583687423321,2
109.875315235,3
110.105911251538,2
110.216792069873,3
110.645814074444,2
111.009429153569,3
111.043656191266,4
111.386034624853,2
111.543308914938,2
111.619980227297,2
111.881922341458,1
112.180285569916,0
112.710078733703,0
113.020102247365,1
113.034458140826,2
113.308585078695,1
113.371870606539,1
113.515273479656,1
113.709434293464,1
113.862928812867,0
114.422257411903,1
114.944940166229,2
115.279300692669,2
115.380758410327,3
115.493077228757,3
115.737651778847,2
116.978162109462,1
116.990723050309,1
117.022534062795,0
117.2740364576,0
117.32120312543,1
118.71518490261,2
119.172625133262,1
119.221076995799,2
119.221670986161,2
119.291112170812,2
119.4619039555,1
119.620872164359,2
119.684805686261,2
119.989997513765,1
121.186295454665,1
121.200011937842,3
121.216715897941,2
121.324305541274,2
121.504174595212,2
121.511752026303,2
121.657568327159,3
121.967550437897,2
123.300644863411,2
123.449017692981,2
123.597990830361,1
123.641543296616,2
124.043294664169,2
124.515594826953,1
125.515140078714,1
125.703762238959,2
125.847488677976,1
126.202008802651,2
126.231794853083,3
126.363041556047,4
127.510609134084,2
127.670876423457,2
127.683052280414,1
128.00955675911,2
128.141698710126,3
128.32254356379,3
128.424158796893,3
128.744384639126,2
128.868218910286,2
128.999633280735,3
129.249573018448,2
129.456541315367,2
130.051772377453,3
130.118847517836,4
130.769452124656,5
130.855933984996,6
130.889063898307,5
132.293531510922,4
132.308196162804,3
132.587286949124,2
133.109182037228,1
133.23233053403,3
133.390307066523,3
133.623309570861,2
133.755820551429,1
134.991028492704,0
135.203028847091,3
135.48507950665,3
135.652794994376,2
135.914019212995,1
137.058194597252,0
137.439393773215,1
137.625693439092,1
137.925276070245,2
137.928093466151,1
139.270789381881,2
139.530480041292,3
139.641725297046,3
139.741558692595,2
140.437223506333,1
140.679489036719,2
141.376566714137,1
141.446641440323,1
142.25261201596,2
142.332101706643,3
142.811308622073,2
143.537127367803,3
143.767951315012,3
143.998771001407,2
144.729360846773,1
144.987429125654,0
145.332352627341,1
145.528718547067,2
146.532588617781,3
146.791584968025,4
147.298490257946,3
147.541941749913,3
147.682585427702,2
147.906548152089,2
148.30122056657,1
148.446130863426,2
149.01414898325,3
149.064517822972,2
149.383877141593,2
149.812754078544,2
150.652286762241,1
150.909447859386,1
151.116393543239,0
151.500269931793,3
151.927269230564,2
152.156929823193,3
152.160678124869,3
152.295945758259,3
152.996824128367,2
153.118876306291,1
153.135773353667,2
153.394329343628,0
153.64587200493,1
153.65533611243,1
155.677191747203,0
155.761219339821,1
156.084621351373,2
157.614966602387,1
158.776567822486,2
159.161328159763,1
159.315561495504,1
159.541946484394,2
160.701671529649,3
161.235512556358,4
161.460225988648,4
161.67409378859,3
162.237321163641,4
162.403017207815,4
162.603189008307,5
162.692993520649,6
163.179479162108,6
163.771876733556,7
163.802563914852,7
164.211034543424,6
164.257233259379,6
164.380749341515,6
165.04904908795,6
165.422548589689,5
165.428951811775,5
165.50617882595,5
165.762767389929,5
165.777977800919,5
165.865434341049,5
165.936206479113,5
166.407147043447,4
167.038751103451,4
167.298678560806,5
167.318302686947,5
167.625365267436,5
167.870242611665,4
167.875327884743,4
167.931869460717,4
167.958331569859,4
167.974627081743,4
167.98434279605,4
168.176478114204,4
168.240674537256,5
168.58168089852,4
168.829868969302,4
169.124809877676,3
169.218581878104,2
169.394432383011,2
169.612313743322,3
170.65775561436,2
171.116402706478,3
171.290878316998,3
171.333758124273,3
171.729639140792,3
171.730766620392,3
171.801802555157,3
171.982093863732,2
172.324229835955,3
172.55509623845,3
173.280628613374,4
174.059986317046,3
174.178603132231,4
174.237787200219,5
174.774901900279,6
175.242358197558,0
175.349752106606,0
175.659859944459,0
175.731026598985,0
175.899280928621,1
175.944927781323,2
176.225468065821,3
177.191658534252,3
177.243258957345,2
177.386231347942,3
177.688242655994,3
178.714647585822,2
179.305226204891,3
179.637288732552,3
179.671147654153,3
179.730484627401,4
180.653409984065,3
180.738086265798,2
180.85735982633,2
181.615440193761,2
181.993562543652,3
182.379271233517,3
183.033428690383,4
183.526907364396,4
183.637496974488,3
183.695025751406,1
183.947827103463,1
184.697333350432,2
184.789490430033,3
185.08308693922,4
185.26248956174,1
185.27095035926,1
185.500808550515,2
185.5205466627,2
185.66036396575,3
185.729751167448,4
187.215375971916,3
187.444118370499,2
187.500880537445,2
187.592936226452,1
187.696759941165,1
188.604774424941,1
188.625001295946,2
189.535935102755,2
189.595995794281,1
189.702189842974,1
190.485262610701,2
190.716386185685,1
191.184676737327,0
191.723577246155,0
192.252626212738,1
193.295156334668,4
193.323222868118,5
193.586862602134,4
193.629432458844,4
193.860176124114,5
194.422794594976,4
194.567340025097,4
194.663314353175,4
194.955993360949,5
195.085271070568,4
195.395861311008,1
195.443862845457,1
195.456369773314,1
196.071804864125,1
196.628490866334,1
196.641768387949,2
196.664784669016,2
197.579883450534,3
197.794885822362,4
197.922280688701,5
198.555376652762,4
199.195325100801,4
199.303588166477,4
199.304470734816,5
199.524877564082,6
199.825893864556,6
200.143264558018,5
200.226026171496,4
200.431647943999,4
200.51823358715,3
200.628171111723,4
200.663875567286,5
201.572026659565,5
201.617572564354,2
201.660752098007,2
201.733850721445,2
201.91225989118,2
203.298093601908,3
203.3031243293,3
203.696671373863,3
203.730343909194,4
204.544207652626,3
204.581614933293,3
204.895733358843,2
205.623987164253,3
206.273337036933,3
206.549046758368,4
206.630764224376,4
208.638930351036,3
209.179010386756,4
