time,DVESystem.client[89].clientPresenceFactor:vector
8.463379175795,3
8.672016872308,4
8.788869532223,5
9.083326416349,5
9.197079480769,5
9.895544615156,4
10.004382445054,3
10.468376786624,2
10.561144927228,1
10.605037600409,1
10.772616015025,1
10.827947558277,1
10.995376734478,2
11.028182290469,3
11.424882305117,4
11.820762155297,4
12.101268269264,4
12.162908203762,3
12.455359371909,4
12.801613625827,4
12.895171730651,4
12.991368797543,3
13.037526574894,3
13.206939522505,3
14.158799039761,2
14.615202714366,5
15.102552083762,4
15.377872396851,4
15.623431521564,5
15.737698523999,4
16.058503857377,4
16.28901395105,5
16.404753964688,4
16.480273372145,3
16.828177297741,2
17.167147118293,2
17.260557104181,3
17.689656426988,2
18.099400308341,3
18.114280937201,4
18.269847466014,3
18.82012513505,2
18.837965006849,2
18.957129062533,2
20.231429356194,3
20.439230069906,2
20.564705970077,2
20.742625274578,3
20.829524775001,3
20.901992042157,4
21.94007991251,5
22.683696818301,4
22.698257814714,3
23.190660734828,3
23.412244037824,4
24.036890985889,5
24.141096791311,4
24.345433430114,4
24.46219665819,3
24.719657586759,4
24.72142008381,5
24.723423855547,4
24.834032266485,5
24.906336523662,5
24.906536937122,4
24.954568792446,4
25.472395270659,3
26.620158541336,3
26.638284492236,0
26.696092537465,0
26.789659569687,1
26.823292686599,1
26.886088584428,1
27.005283772148,1
27.640389543269,1
28.409750533092,1
28.459618766198,2
28.739247737705,2
28.85076682047,2
28.9826683358,2
29.00947806791,2
29.291052840356,2
29.358940901748,1
29.745773855201,0
29.778254957348,1
30.601379164273,1
30.76179644649,2
30.904419717247,2
31.134113532619,2
31.350568513251,3
31.445084837919,2
32.412951578264,1
32.749174384116,2
33.457909191222,1
34.113774589079,1
34.313329934911,2
34.524560183978,3
34.683274599855,3
34.715482174838,2
34.808816104979,2
35.086729033772,4
35.123788575021,4
35.279285916569,3
35.493137042093,3
35.681312766364,4
36.403522605773,4
36.625894938329,4
36.938127461049,4
37.317201183182,3
37.373512620488,3
38.09413519918,3
38.551562166396,1
38.585117521555,1
38.595716892309,1
38.781421590349,2
38.881858642938,1
38.882827507675,1
39.311424421334,2
39.788387692459,3
39.820352823401,3
40.470931454209,4
40.716765209729,4
40.735222166973,5
40.837862428312,4
40.893223315053,4
40.960741224207,4
41.036617312994,4
41.12753343058,4
41.144671202892,4
41.528798465597,4
41.58935785394,3
42.803333820092,2
42.888315773339,2
43.180649552022,3
43.351239563528,2
44.822132619287,3
45.08556921856,2
45.253202385391,3
46.441785457624,2
46.488583181826,3
46.561046767669,6
46.710420119001,6
47.301978121083,5
47.327485149243,5
47.359271710959,5
47.440355297308,4
47.508539385985,5
47.8608935657,4
48.392331711275,3
48.687541757805,2
48.807542447584,2
48.999927135165,3
49.617832471602,4
50.59654731594,3
50.662969985719,3
50.68706732301,4
50.790849658525,3
51.052214615932,3
51.06848640118,3
52.323597183202,2
52.463847926873,2
52.526981699909,1
52.617484500234,1
52.717500370248,1
53.097528371136,2
53.705073631013,1
54.270038322357,2
54.78137349216,2
54.962952808863,0
55.001824583863,1
56.759724227424,1
57.017773617541,1
57.88877419391,0
59.97093691674,1
60.630775363743,2
60.766427745003,1
61.111209281366,1
61.491904154127,2
62.283780924101,1
62.693486179922,2
62.869772803009,3
63.038560209225,3
63.723586234215,4
64.691335031391,3
64.750567948917,2
64.806483096737,2
64.863283805332,2
65.45503282358,1
65.83577440971,2
65.937343981842,1
66.447800706257,2
66.601216836622,1
66.842104274569,1
67.159593185244,2
68.104244881102,1
68.206257669571,2
68.275435502658,3
68.645283287016,2
68.807117420036,2
69.450851923631,1
70.232120849279,0
70.353871345108,1
70.576659303417,1
70.60301522004,2
70.745836151672,0
70.748519263891,0
72.991610400952,1
74.365598197553,2
74.492173315275,2
74.599090319349,1
74.790046013613,2
75.23441097765,3
75.255119260381,3
75.524778912206,2
76.613728927115,0
76.951726472887,0
77.790120377892,1
78.492443463805,2
78.570608958316,2
78.912477108639,2
79.103325078322,1
80.012434285225,2
80.134381494042,3
80.550804698668,3
80.581874666291,2
80.944829393129,2
81.396413877649,1
81.653099996726,2
82.006776477613,3
82.265048064431,3
82.714526288135,3
82.910779352364,4
83.095091226406,5
83.130509435746,5
83.322127631365,4
83.438346793249,5
83.601624653006,6
83.877173488589,5
83.976407981899,6
84.616469804545,5
84.679747152793,4
84.956062900625,4
85.341834789302,3
85.44499469508,3
85.480652626318,2
85.848951270881,1
86.330375592353,2
86.612732751646,2
86.685851607459,1
86.751114492901,1
86.959480733756,2
87.120608306983,1
87.170405392276,1
87.482059354464,2
87.622035899431,3
87.732537779685,4
88.156700523605,5
88.585309599762,5
88.734404456686,2
89.062834088343,2
89.093625006018,2
89.138471223782,3
89.143101253476,2
89.574993676076,3
89.593898994213,4
90.046046725715,3
90.654590375166,4
90.999587787322,4
91.247950787455,5
91.409255853639,4
91.680502076268,5
91.785165046071,6
91.880235933178,6
92.000980780606,5
92.036714799079,5
92.043193411453,5
92.079336114405,5
92.1729132333,6
92.650416185509,2
92.930192675095,2
93.091548733163,3
93.826548948073,4
93.957110278765,3
94.130896713926,4
94.816643134548,4
94.867325312905,1
94.996439163262,0
96.252363619725,0
96.386492050923,1
97.015227902104,3
