time,DVESystem.client[33].clientPresenceFactor:vector
7.740578511693,0
7.742655656377,0
7.755650447694,0
7.993568600837,1
8.519883610667,2
10.167645912108,3
10.408779211896,0
10.608988555794,1
10.881590801945,1
10.975416744151,1
11.322081492238,2
11.907026960041,2
12.122285324154,2
12.293342452563,2
13.659442622184,1
14.044817184295,0
14.082298522758,4
14.321533274184,4
15.710827437482,3
15.770180113497,3
15.832570252001,3
16.027741309141,4
16.17133866173,4
17.26119316362,4
17.757614160607,4
17.826637909043,4
17.989495382923,4
18.253856098136,4
18.494425242064,3
18.537390243386,3
18.569499853829,3
18.762723507836,3
18.865676374439,4
19.590327053261,4
19.791159945332,2
19.97698574716,2
20.989608054635,1
21.330145957485,0
21.72565172888,1
22.018114268152,1
22.212720738995,2
23.795645753201,0
23.949613205399,1
24.306910213608,1
25.312507483739,2
25.885174794257,5
26.112928716126,5
26.20982548488,5
26.264454862565,4
26.281272851254,4
26.301791020209,4
26.738289620098,5
27.174922840053,4
27.446026926704,3
27.748950375265,2
27.825486271788,2
28.299502449166,1
28.898353189368,2
29.419963936723,1
29.72248923247,1
29.990999940551,1
30.696662736344,0
31.802944761385,3
32.154556513663,2
32.173333312655,2
32.789875987307,1
33.018713909111,2
33.054472340333,3
33.712033533468,2
33.721709093292,4
34.048086927351,4
34.165789965484,5
34.250644454191,4
34.331747221021,4
34.439066569355,4
35.184957310679,3
35.343856145146,4
35.880432736183,3
35.9526290976,3
36.250854765824,3
36.304005026623,2
36.342731250633,2
36.540209797744,3
37.057275329977,3
37.165056546043,2
37.799066347193,3
38.141080615713,4
38.492843581374,3
39.699109479735,3
39.756754583647,2
40.18107635418,1
40.234825511055,1
40.727216904447,2
40.735942932432,2
41.478625225657,2
41.545712933581,1
42.774138770542,0
43.409533879796,1
43.674736013593,2
43.678627405148,3
45.539555590275,2
45.548090187541,1
45.748707239427,1
45.75307809292,1
45.999861532362,1
46.273938642592,1
46.343582316001,0
46.477100722543,1
46.608076671077,1
47.183957133416,2
48.280674460325,1
48.471791006079,2
49.367393097011,2
49.520896859716,1
49.865496965599,3
50.253256401104,3
50.814012600223,3
51.138613076976,2
51.184649407513,3
51.814965966602,2
51.820459546889,2
52.448088225569,2
53.787708766425,1
54.051713679591,1
55.606018015795,0
56.409834939421,1
57.829757774282,1
58.321131156207,1
59.309225593464,2
59.387175964882,1
59.808048488228,3
60.047617440779,2
60.160370417074,1
60.332820321225,1
60.533347420597,1
60.962605594648,2
62.053491555244,2
62.152674442563,0
63.751270851031,0
63.92043606929,0
64.739359569953,1
65.756994266486,2
65.891427170341,3
65.915354586952,3
66.660871303741,2
67.494392955895,1
67.929943736775,2
67.958957618163,2
68.093218090695,2
68.499872480883,2
69.267238802451,1
69.333048237094,0
69.669209104481,1
69.682170212325,2
69.765237970173,1
70.063168207645,2
70.984990522536,3
71.637928197109,2
71.786820617953,2
71.855518774102,5
71.929084471595,5
72.020070609789,4
72.233827624073,4
72.7533313579,5
72.858783064477,5
73.246962921727,6
73.746331259242,5
73.812953200063,5
73.93665086968,3
73.991563361379,3
75.299484827527,2
75.769370390693,1
75.936609071331,1
76.188763925997,0
78.019531033364,3
78.297744711076,3
78.811178302295,4
79.218758633547,3
79.311858890088,2
79.869147486186,1
80.15572975458,1
81.849391860902,0
81.897196802315,0
81.946686346983,1
82.85263557437,2
83.782904663639,6
83.913350698224,6
84.210601812712,6
84.329425408264,5
84.655641400386,4
84.747497028932,4
84.823692211152,4
85.087043142323,5
85.252753218648,5
85.599084495481,4
85.692818471188,3
85.979298885918,2
86.247628232089,2
86.407297062855,1
86.42583859633,0
86.557921816502,1
86.597035229947,1
87.491512374974,2
88.133484011196,2
88.173157686401,2
88.30400515567,2
88.536691648145,3
88.914088576368,4
89.289986101423,3
89.574712972029,2
89.847747026948,5
90.102155639179,5
90.537023992506,4
90.916665522943,3
90.928680637617,3
91.017576501868,3
91.139958557283,4
92.314108742728,4
92.477216045868,4
92.783582305277,5
93.154126961218,4
93.350129239948,5
94.189987069495,5
94.330029977054,2
94.414304911244,3
96.049850219948,2
96.30162836693,2
96.54404705422,2
96.568265559289,1
96.696618103636,2
97.884398228316,1
97.962650936888,1
99.985940974142,1
100.307445635373,0
100.431429005511,0
101.748721854809,1
101.943382951156,1
102.490512186827,0
102.582288812146,1
103.942756682021,5
104.28807868072,5
104.485372647451,4
105.298888591955,3
105.344022548938,3
105.353912779204,3
105.460090303702,3
105.774168380183,5
105.894786213601,5
105.953977193851,6
106.357645622435,5
106.369207336214,4
106.536623717087,5
106.537096370607,6
106.887320289695,5
107.008799036571,4
107.522226277229,3
107.86722867972,0
107.946847303338,0
108.108548533697,0
109.173695524602,1
109.244079411661,1
109.737126231994,1
111.762933795613,2
112.137448876143,2
113.224152176902,1
113.31092398486,2
113.316298480057,1
113.86717435724,5
114.449184140748,5
114.960575891777,4
115.029487003579,4
115.118483871615,3
115.127892188406,3
115.57121238675,2
115.90327627128,3
116.346092382946,3
116.977055530387,2
117.370001173856,1
117.412389452317,1
117.439936847821,0
117.826748042332,2
117.979801748169,2
118.098650604026,2
118.158748498702,3
118.342129218114,2
118.884200785804,2
119.182566296258,2
119.268692407945,3
119.322209656593,2
119.663511108903,3
119.802886478737,3
119.834499749796,2
120.074716372201,1
120.184309322403,1
121.944732543667,4
121.971977915316,3
121.977630084871,3
122.215334596892,3
123.039069534139,2
123.059344354812,2
123.087164619133,2
123.531422086134,1
123.72198172004,1
123.823122891988,1
123.833238378139,1
124.311786395601,2
124.431727588064,2
124.472446984696,3
124.899637723658,3
125.483110920139,2
125.766428398125,2
126.135242537166,2
126.174095125264,2
127.151158685948,1
127.531305309034,0
127.799388179798,0
127.802134511145,2
127.836193340923,2
128.131685943699,1
128.692496347156,1
129.518004807104,2
129.829019234163,2
130.052209526572,2
130.055660101756,1
130.456012353279,0
131.963162811348,1
132.137186482137,1
133.581831057631,0
133.799345062178,2
133.968331299308,2
134.343668844524,1
134.837916853162,2
135.5444961781,1
135.770117330693,4
135.823581027681,3
135.875889696728,4
136.004542949998,3
136.323404278635,2
136.478512546315,2
137.561364252584,2
137.61711431082,1
137.635334711817,1
137.831082297381,2
137.878470390118,3
137.936483684022,2
138.339624304605,2
139.705363574093,3
139.763875265027,3
139.864318013874,3
140.068877336702,3
140.267784157928,2
140.596514432699,3
141.268523481759,3
141.487699804983,2
141.500871187408,2
141.819649179256,1
142.268344134186,1
143.984273634402,2
144.192753681031,2
144.963075454464,1
145.347291552161,1
145.726018330472,0
145.857305023303,1
145.992908542922,1
146.270953387862,0
146.892090885518,1
147.839056979089,2
148.150367437046,1
148.292205252028,1
148.45645215801,2
149.710074189168,2
150.197454000896,2
150.458661865405,1
150.593527357806,2
150.885762865102,1
151.726924627738,4
151.88421299089,4
152.034322199746,4
152.050995950641,3
152.13834967307,3
152.155190698745,3
152.751935055796,3
152.963892964277,3
153.243711108353,3
153.743314221075,2
