time,DVESystem.client[68].clientPresenceFactor:vector
2.183385338854,1
2.528033527572,2
2.916170437029,2
3.293275784971,1
3.30296368116,1
3.43285502425,0
3.509421382656,0
3.876180269798,1
4.341115216499,1
4.456508759506,2
4.873335814667,2
5.046380183156,1
5.665793169335,0
6.281804067414,4
6.371208610663,4
6.64201597072,3
6.903081162947,3
7.609847225069,4
7.709336889442,3
7.72066830046,2
7.734762543726,1
8.285682303028,2
8.615968738966,2
8.684463545096,3
8.85423371186,2
9.79817443125,1
9.885276078863,0
10.353614366304,1
10.613326450504,2
10.908847147129,2
11.098703600174,3
11.529240032927,4
11.656299787495,4
11.785722240585,5
11.911938784366,5
12.11095546392,6
12.301833901075,5
12.350226726627,5
12.414737787123,5
12.861114198216,6
12.875159785116,6
12.877650493287,7
12.916824152237,7
12.934215440636,8
13.098630201785,7
13.522657506371,8
13.736089916255,7
14.030399190927,6
14.164314177139,7
14.434825612193,6
14.55284890213,7
14.618018198802,8
14.778571831777,7
14.864898284747,6
15.350194607694,5
15.410536224287,6
15.510828792533,5
15.575331045147,6
15.902324284905,6
16.345045433064,5
16.433824930481,6
16.756799319678,6
16.963996985305,5
17.038791830431,6
17.348938968976,7
17.665452972469,8
18.858873359344,7
18.883330804853,7
18.889970356075,7
18.943863277907,7
18.998038825647,6
19.050442037079,6
19.220802416919,5
20.113994381194,6
20.291892771077,7
20.452599275338,7
20.920035010253,7
21.541289869384,6
21.821053045064,5
21.852870070019,5
21.866741856047,5
21.962660833069,5
22.00389165157,5
22.067573833005,4
22.110918713966,5
22.358386054442,9
22.662625301734,9
23.07016686802,8
23.073558913306,8
23.130073133811,8
23.14785693412,8
23.149297939366,8
23.182950001025,8
23.202510888615,8
23.302844076163,8
23.543841563537,8
23.805023672081,8
24.106368220385,7
24.185486579335,6
24.312515475374,6
24.637379146297,9
24.877188632754,9
24.921440619427,10
25.094439276406,9
25.137256110207,9
25.182293831428,9
25.251022680353,9
25.334082464958,9
25.449538269724,9
25.864079813249,8
26.339587123952,8
26.504891094355,5
26.541582553255,5
26.669771310123,5
27.080580759795,5
27.203782041489,6
27.689485132857,5
27.830085157358,5
27.932678862383,6
27.977657378678,5
28.013004307659,5
28.073535903959,4
28.256891959413,3
28.275326719544,3
28.289066468695,3
28.310920505168,3
28.663610886061,3
29.263545361404,3
29.691357169757,4
29.76639867909,3
29.951082756363,3
30.217471111646,3
30.384938016428,2
30.440716619722,2
30.652231897954,3
30.729448297758,3
30.772140108998,3
30.84683633968,4
31.027068770969,5
31.038539599431,5
31.065300819019,5
31.259883112399,4
31.592190097067,4
31.857712708917,5
32.214934983267,2
32.61975416033,2
32.87242221496,3
33.132726669124,4
33.243265182452,4
33.313693596986,3
33.374886660183,3
33.405371487728,4
33.729221397489,4
34.397394850433,3
34.450507804651,5
34.526442100183,5
