time,DVESystem.client[142].clientPresenceFactor:vector
6.626420443324,2
7.100942896387,3
7.1302091895,3
7.18362146146,3
7.362954458888,2
8.621278709768,1
8.999430319612,1
9.117518932702,0
11.027621871255,4
11.042329321976,5
11.286053433957,5
11.305800928579,6
11.367361233732,5
11.677566207424,4
11.811480585694,3
12.846597335013,2
12.891011417445,3
13.103336883662,2
13.269452581869,2
13.819977601284,2
14.647196723386,2
14.741807347282,1
15.329748016286,2
15.967879830383,1
16.840531747592,0
17.134210594741,0
17.266980029095,1
18.110930002278,2
18.298744040359,3
18.334935715448,4
18.410234231355,5
18.420400954968,6
18.606000194605,7
18.782510217958,1
19.133096001986,1
19.152672822084,2
20.757896831048,0
20.873960869475,0
21.454261771071,0
21.564639328588,0
22.277658100531,1
22.843673133995,1
23.155929416949,1
23.478295956052,2
24.492442950958,1
24.618864694772,1
24.831515737588,2
24.894561412405,2
25.537594861503,3
25.96534301683,3
26.007688614224,2
26.559589264643,1
26.751581024185,2
26.76838620499,2
27.417401442563,2
27.877973059367,2
28.102792048636,3
28.304137232739,2
29.087174481823,4
29.395727722692,5
29.512317783292,5
29.615943425913,4
29.795828450533,3
29.817939221615,4
29.841553823007,3
30.209173290628,2
30.838227059791,3
30.904615164173,4
30.980683135041,5
31.011518168528,6
31.031394400587,7
31.056728958847,8
31.067445893221,9
31.148493750199,9
31.1518242582,10
31.464576287858,9
32.281917603277,8
32.639789327837,7
32.825564841033,6
32.857157888467,6
32.89823142566,6
33.09483115084,2
33.282759484578,1
34.303530289277,2
35.191709194778,3
36.153136393357,2
36.362530218489,3
36.918465690709,2
37.065813810434,3
37.8323222871,4
38.546607450268,3
38.770529237625,4
39.15789180918,4
40.141180892813,3
40.285261304057,2
40.546520379833,1
40.759232030332,2
41.077963344421,2
41.893991458769,1
42.811519311111,0
43.050029904371,5
43.073018230868,4
43.198224877023,4
43.25962437526,4
43.329125009944,5
43.375414442169,6
43.406525902555,7
43.615091690985,8
43.630745310958,9
43.659139201819,10
43.76040124509,11
44.536506424669,12
44.649484531513,11
44.791388025798,11
44.835522502148,1
45.439651395615,2
46.566841052341,3
46.668608833598,4
46.92530287738,0
47.025456802138,0
47.279730568194,1
47.93598241122,2
48.796239568127,1
49.349406149603,2
49.387288381157,2
49.588251125793,1
49.68203524809,2
49.704741221893,2
51.181258823205,1
51.933531522394,0
52.974591036358,3
53.038431663616,3
53.648906914765,4
53.796013014891,3
53.987690844327,3
55.018535622429,1
55.291844931325,1
55.654390853478,2
56.596944189619,1
56.72202822907,2
57.017093964803,2
57.529002143137,1
58.00704824137,2
58.970694059525,1
59.404955301909,1
59.892647101644,0
60.471078141816,1
60.829956166501,1
60.876973650256,2
61.048828406975,2
61.441982482127,3
61.811605969988,4
61.822315959315,5
61.926806232301,6
62.407646983221,7
62.415948491847,8
62.497510374396,9
62.69205722204,8
62.930126239205,1
63.103955874735,1
63.197711995105,2
64.524564992484,3
64.528660901412,2
64.713341280017,2
65.068566563968,3
65.445116761849,3
65.943570709159,4
66.010600230758,5
66.073891524028,4
66.428879264357,5
66.449837263755,5
66.640378393716,6
66.662591005465,7
66.905535919104,7
67.147503383386,6
67.182739128931,3
67.273830976839,3
67.299996001354,3
67.34379613037,4
67.381917812655,4
68.252263616604,3
68.788845514959,3
69.069423998968,3
69.07653209313,3
69.886601291317,2
69.910632193638,1
70.19419494778,1
71.119905153021,3
71.265933242153,4
71.278433265952,4
71.404430390107,3
72.024260265688,2
72.506848145063,3
72.562608941274,2
72.699784231372,1
72.886313541715,4
73.018958849729,4
73.898267266353,3
73.952697228076,3
74.206754234239,4
74.705291525903,3
74.75667170835,2
74.773497261532,2
75.131659295403,2
76.489955159622,1
76.584594521951,1
76.629723275823,2
76.901202676494,3
77.121489634183,4
77.136910819897,4
77.393684939371,3
77.791214982415,4
78.294240652483,3
79.056788896041,3
79.134239687728,3
79.320397315407,4
79.971298146684,3
80.438481141743,2
80.583086238383,3
80.593733587117,2
81.359003676858,1
81.599728997364,2
81.967186322726,3
82.793374016008,2
83.2841902767,1
83.495759915667,2
84.017057896307,1
84.986155284224,3
85.285214860447,3
85.793909247026,4
85.917133501822,3
85.983949889757,2
86.698061161142,1
86.826251526041,1
86.904935248059,1
90.281309339137,2
90.756778783001,0
90.918253641491,0
93.115315602723,0
93.228537127587,2
93.317945908257,1
93.324709465142,2
94.498798306136,3
94.501892339906,2
95.153331141244,3
95.250042618745,2
95.320624261254,3
96.498602274851,2
96.801112480283,2
96.805146708898,2
96.881406785834,2
97.722547940309,3
98.254831276209,4
98.344682713387,5
98.574024817967,6
98.694534679412,5
98.818801906188,5
98.995556800641,1
99.926676333848,2
100.466969228396,3
100.540191974677,4
100.900501805339,5
101.170439988381,6
101.318391348443,7
102.167320177623,6
102.595388790911,5
102.798341247608,4
102.946572550556,3
103.162905781136,3
103.312574888942,3
103.782615752336,4
104.270803464969,4
104.316182620907,3
104.344553521698,3
104.611638169853,2
105.776447213313,3
105.942107789298,2
106.273274305577,1
106.472588950921,2
106.828379680673,1
106.999644654773,1
107.959516722056,2
108.927138535526,3
108.978790191324,4
109.311328214109,3
109.788779258184,2
110.339566468189,3
110.500225190513,2
110.674641271182,3
110.68201808909,2
110.904700187731,3
110.99691021209,4
110.998543600033,4
111.003426045454,5
111.402921565361,6
111.595618081663,5
112.69661729563,5
112.806839271068,4
112.841686045908,3
113.280801179398,3
113.462973097893,2
114.624343242875,1
114.664161831169,0
114.715928748928,0
114.791472890753,4
115.106214723887,4
115.556854104497,3
115.646485817794,2
115.730110672636,2
115.794239302266,2
116.758287804913,3
117.036579276026,3
117.597817776274,2
118.439376881408,3
118.559341710458,4
118.667289955443,4
118.913350265322,1
119.493677216962,1
120.741299328635,1
120.76142125115,4
120.953000969234,4
120.959525894152,5
122.021924421453,4
122.187478392131,3
122.465190604524,2
122.680723777111,3
122.781527584613,1
122.960054089849,1
123.730487344544,2
124.19595603237,1
124.655953174593,2
125.195807847997,4
125.244301647051,5
125.376338806228,4
125.397771101809,4
125.802454584299,5
126.203069909256,4
126.295025406703,4
126.743942259876,2
126.8003267387,2
127.11817921481,2
127.443079684184,3
127.452372332191,4
128.601320953174,3
128.699719435207,3
128.857175142791,1
129.036229221093,1
130.709238723147,0
132.901609449606,1
132.995622531377,2
134.797238750599,1
135.01211168317,1
135.034000075077,1
135.19692918327,1
135.23120383718,1
135.976683253602,0
136.813418706114,0
136.838138156281,2
136.896282803986,2
137.881480868878,1
138.847734799837,1
138.906107392824,5
139.193604035258,5
139.752497875201,4
140.841973085041,3
140.85781003629,4
141.055285734754,4
141.211183814748,4
142.216533591763,4
142.759096754885,2
142.802027739334,2
142.868543396569,2
143.276987363687,3
143.83442580203,2
144.9345223011,1
145.346547798153,2
145.626838076042,3
147.084332911549,3
147.170990725834,3
147.293615797149,3
147.849807368166,2
148.737770383254,1
149.149285967274,1
149.658660842082,2
149.717121571418,3
150.803327990663,3
150.920025583331,2
151.136479185305,1
151.495915148861,1
152.108945537234,0
152.880313847746,5
153.210673697865,4
153.307542814333,4
153.911203312604,3
154.112626018294,2
154.824341629476,1
154.993007217234,0
155.194659319344,0
155.618993310039,1
155.834522436483,2
155.871257876739,3
155.927301884761,4
156.992479788002,1
157.073667695591,1
157.247873136213,2
157.305119323645,3
157.582857029999,2
158.960528691617,3
159.130471362656,4
159.532159324713,4
159.596560189801,3
159.815633166108,2
159.881026609604,1
160.872431147858,6
161.155200297752,6
161.361126425915,5
161.368963196135,5
161.407202236526,5
161.425292892648,5
161.583948487986,6
161.60444405758,7
161.634738988692,8
161.903237604059,9
162.648726975558,8
162.853152517048,3
163.109291620818,3
164.483900553866,4
164.504120034969,3
165.015941424313,3
165.193704251108,4
166.544479969136,3
166.762792731527,6
166.80583448931,5
166.871182105904,6
166.927742370495,5
166.950627723493,5
166.994962110969,5
167.006954383974,5
167.058417391894,4
167.100157556271,4
167.308297643167,4
167.32747897058,5
168.060793998322,6
168.204706946729,5
168.236083502579,6
168.307824860831,7
168.831823189135,2
168.96009642924,2
169.039653013049,2
170.140947654199,1
170.317597801557,2
170.429343359582,3
170.502768629562,4
170.624696082197,5
170.682945016323,6
170.713872971182,0
170.716276681806,0
170.733187587936,0
171.021375209126,0
171.039285695791,0
171.840319801607,1
171.934482454756,1
172.490709947919,2
172.894713388748,3
174.124548107202,2
174.615341582172,1
174.817752751916,0
174.89336792344,4
174.916593099922,4
175.300822572011,4
175.416047784962,4
175.864830560451,4
176.479660752608,5
176.495335603117,4
176.606047754087,5
177.879269196614,5
178.415411687011,4
178.542856297249,3
